,identifier,titleEn,scopeEn
0,01.020,Terminology (principles and coordination),Including terminography
1,01.040,Vocabularies,
2,01.060,Quantities and units,
3,01.070,Colour coding,
4,01.075,Character symbols,
5,01.080,Graphical symbols,
6,01.100,Technical drawings,
7,01.110,Technical product documentation,"Including rules for preparation of user guides, manuals, product specifications, etc."
8,01.120,Standardization. General rules,Including rules for the preparation of standards catalogues and management of technical documents
9,01.140,Information sciences. Publishing,
10,03.020,Sociology. Demography,
11,03.040,Labour. Employment,
12,03.060,Finances. Banking. Monetary systems. Insurance,Including personal financial planning
13,03.080,Services,
14,03.100,Company organization and management. Management systems,
15,03.120,Quality,
16,03.140,Patents. Intellectual property,
17,03.160,Law. Administration,"Including flags and associated symbols (emblems) of political and administrative entities, military flags, flags of organizations, etc."
18,03.180,Education,
19,03.200,Leisure. Tourism,
20,03.220,Transport,
21,03.240,Postal services,"Including postal equipment, post-boxes and letter-boxes, etc."
22,07.020,Mathematics,
23,07.030,Physics. Chemistry,
24,07.040,Astronomy. Geodesy. Geography,
25,07.060,Geology. Meteorology. Hydrology,
26,07.080,Biology. Botany. Zoology,Including biotechnology
27,07.100,Microbiology,
28,07.120,Nanotechnologies,
29,07.140,Forensic science,
30,11.020,Medical sciences and health care facilities in general,
31,11.040,Medical equipment,
32,11.060,Dentistry,
33,11.080,Sterilization and disinfection,
34,11.100,Laboratory medicine,
35,11.120,Pharmaceutics,
36,11.140,Hospital equipment,"Including hospital beds, surgical tables, medical garments, medical gloves, containers for sharp disposal, etc."
37,11.160,First aid,"Including kits, equipment, facilities and medical transport for first aid"
38,11.180,Aids for disabled or handicapped persons,Including aids for elderly people
39,11.200,Birth control. Mechanical contraceptives,
40,11.220,Veterinary medicine,Including equipment specific to veterinary medicine
41,13.020,Environmental protection,
42,13.030,Wastes,
43,13.040,Air quality,
44,13.060,Water quality,"Including toxicity, biodegradability, protection against pollution, related installations and equipment"
45,13.080,Soil quality. Pedology,
46,13.100,Occupational safety. Industrial hygiene,
47,13.110,Safety of machinery,
48,13.120,Domestic safety,
49,13.140,Noise with respect to human beings,Including audiometry
50,13.160,Vibration and shock with respect to human beings,
51,13.180,Ergonomics,
52,13.200,Accident and disaster control,Including emergency evacuations and emergency control systems
53,13.220,Protection against fire,
54,13.230,Explosion protection,
55,13.240,Protection against excessive pressure,"Including safety valves, bursting disc devices, etc."
56,13.260,Protection against electric shock. Live working,Including tools for working with voltages
