ISO Codes,Title
ISO 704:2022,Terminology work — Principles and methods
ISO 5060:2024,Translation services — Evaluation of translation output — General guidance
ISO 5078:2025,Management of terminology resources — Terminology extraction
ISO 11669:2024,Translation projects — General guidance
ISO 12620-1:2022,Management of terminology resources — Data categories — Part 1: Specifications
ISO 12620-2:2022,Management of terminology resources — Data categories — Part 2: Repositories
ISO 13611:2024,Interpreting services — Community interpreting — Requirements and recommendations
ISO 17100:2015/Amd 1:2017,Translation services — Requirements for translation services — Amendment 1
ISO 20539:2023,"Translation, interpreting and related technology — Vocabulary"
ISO 21998:2020,Interpreting services — Healthcare interpreting — Requirements and recommendations
ISO 23155:2022,Interpreting services — Conference interpreting — Requirements and recommendations
ISO 24613-1:2024,Language resource management — Lexical markup framework (LMF) — Part 1: Core model
ISO 24613-2:2020,Language resource management — Lexical markup framework (LMF) — Part 2: Machine-readable dictionary (MRD) model
ISO 24613-3:2021,Language resource management — Lexical markup framework (LMF) — Part 3: Etymological extension
ISO 24613-4:2021,Language resource management — Lexical markup framework (LMF) — Part 4: TEI serialization
ISO 24613-5:2022,Language resource management — Lexical markup framework (LMF) — Part 5: Lexical base exchange (LBX) serialization
ISO 24613-6:2024,Language resource management — Lexical markup framework (LMF) — Part 6: Syntax and semantics
ISO 24617-2:2020,Language resource management — Semantic annotation framework (SemAF) — Part 2: Dialogue acts
ISO 24617-10:2024,Language resource management — Semantic annotation framework (SemAF) — Part 10: Visual information
ISO 24617-11:2021,Language resource management — Semantic annotation framework (SemAF) — Part 11: Measurable quantitative information (MQI)
ISO 24617-12:2025,Language resource management — Semantic annotation framework (SemAF) — Part 12: Quantification
ISO 24617-14:2023,Language resource management — Semantic annotation framework (SemAF) — Part 14: Spatial semantics
ISO 24617-15:2025,Language resource management — Semantic annotation framework (SemAF) — Part 15: Measurable quantitative information extraction (MQIE)
ISO 24623-2:2021,Language resource management — Corpus query lingua franca (CQLF) — Part 2: Ontology
ISO 24627-3:2021,Language resource management — Comprehensive Annotation Framework (ComAF) — Part 3: Diagrammatic semantic authoring (DSA)
ISO 26162-3:2023,Management of terminology resources — Terminology databases — Part 3: Content
ISO 19408:2023,Footwear — Sizing — Vocabulary
ISO 19952:2025,Footwear — Vocabulary
ISO 20537:2025,Footwear — Identification of defects during visual inspection — Vocabulary
ISO 1151-3:1989/Cor 1:1996,"Flight dynamics — Concepts, quantities and symbols — Part 3: Derivatives of forces, moments and their coefficients — Technical Corrigendum 1"
ISO 1151-6:1982/Amd 1:1984,Terms and symbols for flight dynamics — Part 6: Aircraft geometry — Amendment 1
ISO 1151-7:2023,Flight dynamics — Vocabulary — Part 7: Flight points and flight envelopes
ISO 1151-8:2022,Flight dynamics — Vocabulary — Part 8: Dynamic behaviour of aircraft
ISO 3002-1:1982/Amd 1:1992,"Basic quantities in cutting and grinding — Part 1: Geometry of the active part of cutting tools — General terms, reference systems, tool and working angles, chip breakers — Amendment 1"
ISO 9288:2022,Thermal insulation — Heat transfer by radiation — Vocabulary
ISO 80000-1:2022,Quantities and units — Part 1: General
ISO 8843:2005/Amd 1:2012,Aircraft — Crimp-removable contacts for electrical connectors — Identification system — Amendment 1
ISO 9247:1990/Amd 1:1998,Earth-moving machinery — Electrical wires and cables — Principles of identification and marking — Amendment 1
ISO 22324:2022,Security and resilience - Emergency management - Guidelines for colour-coded alert
ISO 15241:2012/Amd 1:2020,Rolling bearings — Symbols for physical quantities — Amendment 1
ISO 2575:2021,"Road vehicles — Symbols for controls, indicators and tell-tales"
ISO 2575:2021/Amd 1:2024,"Road vehicles — Symbols for controls, indicators and tell-tales — Amendment 1"
ISO 3767-1:2016/Amd 1:2020,"Tractors, machinery for agriculture and forestry, powered lawn and garden equipment — Symbols for operator controls and other displays — Part 1: Common symbols — Amendment 1"
ISO 3767-2:2016/Amd 1:2020,"Tractors, machinery for agriculture and forestry, powered lawn and garden equipment — Symbols for operator controls and other displays — Part 2: Symbols for agricultural tractors and machinery — Amendment 1"
ISO 6405-1:2017/Amd 1:2022,Earth-moving machinery — Symbols for operator controls and other displays — Part 1: Common symbols — Amendment 1: Additional symbols
ISO 6405-2:2017/Amd 1:2022,"Earth-moving machinery — Symbols for operator controls and other displays — Part 2: Symbols for specific machines, equipment and accessories — Amendment 1: Additional symbols"
ISO 6727:2021,"Road vehicles — Motorcycles and mopeds — Symbols for controls, indicators and tell-tales"
ISO 6727:2021/Amd 1:2024,"Road vehicles — Motorcycles and mopeds — Symbols for controls, indicators and tell-tales — Amendment 1"
ISO 7000:2019,Graphical symbols for use on equipment — Registered symbols
ISO 7010:2019/Amd 1:2020,Graphical symbols — Safety colours and safety signs — Registered safety signs — Amendment 1
ISO 7010:2019/Amd 2:2020,Graphical symbols — Safety colours and safety signs — Registered safety signs — Amendment 2
ISO 7010:2019/Amd 3:2021,Graphical symbols — Safety colours and safety signs — Registered safety signs — Amendment 3
ISO 7010:2019/Amd 4:2021,Graphical symbols — Safety colours and safety signs — Registered safety signs — Amendment 4
ISO 7010:2019/Amd 5:2022,Graphical symbols — Safety colours and safety signs — Registered safety signs — Amendment 5
ISO 7010:2019/Amd 6:2022,Graphical symbols — Safety colours and safety signs — Registered safety signs — Amendment 6
ISO 7010:2019/Amd 7:2023,Graphical symbols — Safety colours and safety signs — Registered safety signs — Amendment 7
ISO 7010:2019/Amd 8:2024,Graphical symbols — Safety colours and safety signs — Registered safety signs — Amendment 8
ISO 7010:2019/Amd 9:2025,Graphical symbols — Safety colours and safety signs — Registered safety signs — Amendment 9
ISO 7287:2002/Amd 1:2024,Graphical symbols for thermal cutting equipment — Amendment 1
ISO 7296-1:1991/Amd 1:1996,Cranes — Graphic symbols — Part 1: General — Amendment 1
ISO 9244:2008/Amd 1:2016,Earth-moving machinery — Machine safety labels — General principles — Amendment 1
ISO 9687:2015/Amd 1:2018,Dentistry — Graphical symbols for dental equipment — Amendment 1
ISO 11684:2023,"Tractors, machinery for agriculture and forestry, powered lawn and garden equipment — Safety labels — General principles"
ISO 15223-1:2021,Medical devices — Symbols to be used with information to be supplied by the manufacturer — Part 1: General requirements
ISO 15223-1:2021/Amd 1:2025,Medical devices — Symbols to be used with information to be supplied by the manufacturer — Part 1: General requirements — Amendment 1: Addition of defined term for authorized representative and modified EC REP symbol to not be country or region specific
ISO 20560-1:2024,Safety information for the content of piping systems and tanks — Part 1: Piping systems
ISO 20560-2:2023,Safety information for the content of piping systems and tanks — Part 2: Tanks
ISO 7499:2024,Technical product documentation (TPD) — Unique integral feature identification (UIFI)
ISO 7533:2024,Technical product documentation (TPD) — Identification of specifications in the technical product documentation (TPD)
ISO 8887-2:2023,"Technical product documentation — Design for manufacturing, assembling, disassembling and end-of-life processing — Part 2: Vocabulary"
ISO 10209:2022,"Technical product documentation — Vocabulary — Terms relating to technical drawings, product definition and related documentation"
ISO 24183:2024,Technical communication — Vocabulary
ISO 81346-10:2022,"Industrial systems, installations and equipment and industrial products — Structuring principles and reference designations — Part 10: Power supply systems"
ISO 12616-1:2021,Terminology work in support of multilingual communication — Part 1: Fundamentals of translation-oriented terminography
ISO 25556:2025,Ageing societies — General requirements and guidelines for ageing-inclusive digital economy
ISO 3531-1:2022,Financial services — Financial information eXchange session layer — Part 1: FIX tagvalue encoding
ISO 3531-2:2022,Financial services — Financial information eXchange session layer — Part 2: FIX session layer
ISO 3531-3:2022,Financial services — Financial information eXchange session layer — Part 3: FIX session layer test cases
ISO 4914:2021,Financial services — Unique product identifier (UPI)
ISO 5009:2022,Financial services — Official organizational roles — Scheme for official organizational roles
ISO 5158:2023,Mobile financial services — Customer identification guidelines
ISO 5201:2024,Financial services — Code-scanning payment security
ISO 6166:2021,Financial services — International securities identification number (ISIN)
ISO 9362:2022,Banking — Banking telecommunication messages — Business identifier code (BIC)
ISO 10962:2021,Securities and related financial instruments — Classification of financial instruments (CFI) code
ISO 13616-1:2020,Financial services — International bank account number (IBAN) — Part 1: Structure of the IBAN
ISO 13616-2:2020,Financial services — International bank account number (IBAN) — Part 2: Role and responsibilities of the Registration Authority
ISO 14030-1:2021,Environmental performance evaluation — Green debt instruments — Part 1: Process for green bonds
ISO 14030-2:2021,Environmental performance evaluation — Green debt instruments — Part 2: Process for green loans
ISO 14030-3:2022,Environmental performance evaluation — Green debt instruments — Part 3: Taxonomy
ISO 14030-4:2021,Environmental performance evaluation — Green debt instruments — Part 4: Verification programme requirements
ISO 14097:2021,Greenhouse gas management and related activities — Framework including principles and requirements for assessing and reporting investments and financing activities related to climate change
ISO 14100:2022,"Guidance on environmental criteria for projects, assets and activities to support the development of green finance"
ISO 15022-1:1999/Cor 1:1999,Securities — Scheme for messages (Data Field Dictionary) — Part 1: Data field and message design rules and guidelines — Technical Corrigendum 1
ISO 15022-2:1999/Cor 1:1999,Securities — Scheme for messages (Data Field Dictionary) — Part 2: Maintenance of the Data Field Dictionary and Catalogue of Messages — Technical Corrigendum 1
ISO 17442-1:2020,Financial services — Legal entity identifier (LEI) — Part 1: Assignment
ISO 17442-2:2020,Financial services — Legal entity identifier (LEI) — Part 2: Application in digital certificates
ISO 17442-3:2024,Financial services — Legal entity identifier (LEI) — Part 3: Verifiable LEIs (vLEIs)
ISO 18245:2023,Retail financial services — Merchant category codes
ISO 18774:2024,Financial services — Financial instrument short name (FISN)
ISO 19092:2023,Financial services — Biometrics — Security framework
ISO 21586:2020,Reference data for financial services — Specification for the description of banking products or services (BPoS)
ISO 23195:2021,Security objectives of information systems of third-party payment services
ISO 23897:2020,Financial services — Unique transaction identifier (UTI)
ISO 24165-1:2025,"Digital token identifier (DTI) — Registration, assignment and structure — Part 1: Method for registration and assignment"
ISO 24165-2:2025,"Digital token identifier (DTI) — Registration, assignment and structure — Part 2: Data elements for registration"
ISO 24366:2021,Financial services — Natural person identifier (NPI)
ISO/IEC 27562:2024,Information technology — Security techniques — Privacy guidelines for fintech services
ISO 32210:2022,Sustainable finance — Guidance on the application of sustainability principles for organizations in the financial sector
ISO 6707-4:2021,Buildings and civil engineering works — Vocabulary — Part 4: Facility management terms
ISO 41001:2018/Amd 1:2024,Facility management — Management systems — Requirements with guidance for use — Amendment 1: Climate action changes
ISO 41011:2024,Facility management — Vocabulary
ISO 41014:2020,Facility management — Development of a facility management strategy
ISO 41015:2023,Facility management — Influencing organizational behaviours for improved facility outcomes
ISO 41017:2024,Facility management — Guidance on emergency preparedness and management of an epidemic
ISO 41018:2022,Facility management — Development of a facility management policy
ISO 6763:2024,Healthcare organization management — Pandemic response — Guidance on social distancing and source control
ISO 18128:2024,Information and documentation — Records risks — Risk assessment for records management
ISO 21503:2022,"Project, programme and portfolio management — Guidance on programme management"
ISO 21504:2022,"Project, programme and portfolio management — Guidance on portfolio management"
ISO 22095:2020,Chain of custody  — General terminology and models
ISO 22301:2019/Amd 1:2024,Security and resilience — Business continuity management systems — Requirements — Amendment 1: Climate action changes
ISO 22322:2022,Security and resilience — Emergency management — Guidelines for public warning
ISO 22324:2022,Security and resilience - Emergency management - Guidelines for colour-coded alert
ISO 22328-1:2020,Security and resilience — Emergency management — Part 1: General guidelines for the implementation of a community-based disaster early warning system
ISO 22328-2:2024,Security and resilience — Emergency management — Part 2: Guidelines for the implementation of a community-based early warning system for landslides
ISO 22328-3:2023,Security and resilience — Emergency management — Part 3: Guidelines for the implementation of a community-based early warning system for tsunamis
ISO 22329:2021,Security and resilience — Emergency management — Guidelines for the use of social media in emergencies
ISO 22336:2024,Security and resilience — Organizational resilience — Guidelines for resilience policy and strategy
ISO 22340:2024,Security and resilience — Protective security — Guidelines for an enterprise protective security architecture and framework
ISO 22341-2:2025,Security and resilience — Protective security — Part 2: Guidelines for crime prevention through environmental design for residential facilities
ISO 22341:2021,Security and resilience — Protective security — Guidelines for crime prevention through environmental design
ISO 22342:2023,Security and resilience — Protective security — Guidelines for the development of a security plan for an organization
ISO 22359:2024,Security and resilience — Guidelines for hardened protective shelters
ISO 22361:2022,Security and resilience — Crisis management — Guidelines
ISO 22371:2024,"Security and resilience — Community resilience — Principles, framework and guidelines on urban resilience"
ISO 22376:2023,"Security and resilience — Authenticity, integrity and trust for products and documents — Specification and usage of visible digital seal (VDS) data format for authentication, verification and acquisition of data carried by a document or object"
ISO 22379:2022,Security and resilience — Guidelines for hosting and organizing citywide or regional events
ISO 22383:2020,"Security and resilience — Authenticity, integrity and trust for products and documents — Guidelines for the selection and performance evaluation of authentication solutions for material goods"
ISO 22384:2020,"Security and resilience — Authenticity, integrity and trust for products and documents — Guidelines to establish and monitor a protection plan and its implementation"
ISO 22385:2023,"Security and resilience — Authenticity, integrity and trust for products and documents — Guidelines to establish a framework for trust and interoperability"
ISO 22387:2022,"Security and resilience — Authenticity, integrity and trust for products and documents — Validation procedures for the application of artefact metrics"
ISO 22388:2023,"Security and resilience — Authenticity, integrity and trust for products and documents — Guidelines for securing physical documents"
ISO 22393:2023,Security and resilience — Community resilience — Guidelines for planning recovery and renewal
ISO 24591-1:2024,Smart water management — Part 1: General guidelines and governance
ISO 24591-2:2024,Smart water management — Part 2: Data management guidelines
ISO 25554:2024,Ageing societies — Guidelines for promoting wellbeing in communities
ISO 25639-1:2025,Exhibitions and events — Part 1: Vocabulary
ISO/IEC 27554:2024,"Information security, cybersecurity and privacy protection — Application of ISO 31000 for assessment of identity-related risk"
ISO 28000:2022,Security and resilience — Security management systems — Requirements
ISO 28000:2022/Amd 1:2024,Security and resilience — Security management systems — Requirements — Amendment 1: Climate action changes
ISO 31030:2021,Travel risk management — Guidance for organizations
ISO 31031:2024,Managing risk for youth and school trips
ISO 31073:2022,Risk management — Vocabulary
ISO 31700-1:2023,Consumer protection — Privacy by design for consumer goods and services — Part 1: High-level requirements
ISO 37001:2025,Anti-bribery management systems — Requirements with guidance for use
ISO 37002:2021,Whistleblowing management systems — Guidelines
ISO 37003:2025,Fraud control management systems — Guidance for organizations managing the risk of fraud
ISO 37113:2024,Sustainable cities and communities — Guidance for managing a public-health emergency response in smart city operating models
ISO 37179:2024,Smart community infrastructures — Disaster risk reduction — Basic framework for implementation
ISO 37301:2021,Compliance management systems — Requirements with guidance for use
ISO 37301:2021/Amd 1:2024,Compliance management systems — Requirements with guidance for use — Amendment 1: Climate action changes
ISO 44001:2017/Amd 1:2024,Collaborative business relationship management systems — Requirements and framework — Amendment 1: Climate action changes
ISO 44003:2021,"Collaborative business relationship management — Guidelines for micro, small and medium-sized enterprises on the implementation of the fundamental principles"
ISO 44004:2021,"Collaborative business relationship management — Guidelines for large organizations seeking collaboration with micro, small and medium-sized enterprises (MSMEs)"
ISO 55000:2024,"Asset management — Vocabulary, overview and principles"
ISO 55001:2024,Asset management — Asset management system — Requirements
ISO 55011:2024,Asset management — Guidance for the development of public policy to enable asset management
ISO 55012:2024,Asset management — Guidance on people involvement and competence
ISO 55013:2024,Asset management — Guidance on the management of data assets
ISO 56000:2025,Innovation management — Fundamentals and vocabulary
ISO 56001:2024,Innovation management system — Requirements
ISO 56005:2020,Innovation management — Tools and methods for intellectual property management — Guidance
ISO 56006:2021,Innovation management — Tools and methods for strategic intelligence management — Guidance
ISO 56007:2023,Innovation management — Tools and methods for managing opportunities and ideas — Guidance
ISO 56008:2024,Innovation management — Tools and methods for innovation operation measurements — Guidance
ISO 59004:2024,"Circular economy — Vocabulary, principles and guidance for implementation"
ISO 59010:2024,Circular economy — Guidance on the transition of business models and value networks
ISO 59020:2024,Circular economy — Measuring and assessing circularity performance
ISO 59040:2025,Circular economy — Product circularity data sheet
ISO 4465:2022,"Textiles — Animal welfare in the supply chain — General requirements for the production, preparation and traceability of Angora rabbit fibre, including ethical claims and supporting information"
ISO 5401:2024,Audit data collection — Customs and indirect tax extension
ISO 5405:2024,Audit data collection extension — Government regulated financial reports and payroll
ISO 16919:2025,Space data and information transfer systems — Requirements for bodies providing audit and certification of candidate trustworthy digital repositories
ISO/IEC 17030:2021,Conformity assessment — General requirements for third-party marks of conformity
ISO/IEC 17043:2023,Conformity assessment — General requirements for the competence of proficiency testing providers
ISO/IEC 17060:2022,Conformity assessment — Code of good practice
ISO/IEC 19770-6:2024,Information technology — IT asset management — Part 6: Hardware identification tag
ISO/IEC 19770-11:2021,Information technology — IT asset management — Part 11: Requirements for bodies providing audit and certification of IT asset management systems
ISO 22003-1:2022,Food safety — Part 1: Requirements for bodies providing audit and certification of food safety management systems
ISO 22003-2:2022,"Food safety — Part 2: Requirements for bodies providing evaluation and certification of products, processes and services, including an audit of the food safety system"
ISO/IEC 27006-1:2024,"Information security, cybersecurity and privacy protection — Requirements for bodies providing audit and certification of information security management systems — Part 1: General"
ISO 50003:2021,Energy management systems — Requirements for bodies providing audit and certification of energy management systems
ISO 21001:2018/Amd 1:2024,Educational organizations — Management systems for educational organizations — Requirements with guidance for use — Amendment 1: Climate action changes
ISO/IEC 23127-1:2021,"Information technology — Learning, education, and training — Metadata for facilitators of online learning — Part 1: Framework"
ISO 24438:2023,Ships and marine technology — Maritime education and training — Maritime career guidance
ISO 29991:2020,Language-learning services — Requirements
ISO 29994:2021,Education and learning services — Requirements for distance learning
ISO 29995:2021,Education and learning services — Vocabulary
ISO 4240-2:2024,Fine bubble technology — Environmental applications — Part 2: Test method for evaluating aeration performance of fine bubble jet devices
ISO 7383-1:2024,Fine bubble technology — Evaluation method for determining gas content in fine bubble dispersions in water — Part 1: Oxygen content
ISO 7383-2:2024,Fine bubble technology — Evaluation method for determining gas content in fine bubble dispersions in water — Part 2: Hydrogen content
ISO 7392:2024,Fine bubble technology — Evaluation method for determining surface tension of ultrafine bubble dispersions
ISO 7428-1:2024,Fine bubble technology — Domestic applications — Part 1: Assessment of showerhead devices by evaluating size and concentration indices of generated fine bubbles
